XP-ECE,221,224,231,222,219,204,225,222,216,220,219,222,225,223,224,222,221,216,218,212,217,230,237,218,212,215,221,221,215,224,219,219,223,229,221,219,226,222,217,225,216,223,222,217,223,222,218,214,207,211,215,231,225,207,220,216,224,218,216,218,216,216,209,210,219,222,215,219,213,222,226,218,218,222,217,221,214,217,223,210,222,222,214,224,224,228,213,216,219,222,227,224,224,218,221,217,224,213,221,221
Envy-Cycle Elimination,173
Draft-and-Eliminate,201
Ordered Picking,213
Round-Robin,193
