items,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
XP-ECE,0,0,0,4,3,1,1,3,25,38,35,27,32,44,48,62,66,71,70,75,81,79,78,91,88,89,85,90,88,89,90,90,93,94,94,93,94,97,99
Envy-Cycle Elimination,0,0,0,3,4,0,2,2,1,5,3,3,6,4,7,1,8,4,5,4,14,8,4,9,3,6,7,5,9,15,8,11,10,10,6,11,12,10,6
Draft-and-Eliminate,0,0,0,4,5,2,2,10,47,41,13,7,1,0,3,3,2,5,4,8,10,8,10,10,4,6,12,7,11,8,11,11,12,9,7,8,9,10,7
Ordered Picking,0,0,0,3,2,1,2,8,11,17,19,20,32,58,56,68,71,70,75,77,75,85,77,82,89,92,90,91,91,89,95,95,100,99,96,94,98,94,97
Round-Robin,0,0,0,3,4,1,1,2,25,28,26,22,31,73,56,63,72,76,90,93,93,90,88,99,98,99,97,98,100,100,100,100,100,100,100,100,100,100,100
