items,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
XP-ECE,3.0698776245117185e-05,5.007266998291016e-05,7.930755615234375e-05,6.664276123046875e-05,0.0001225709915161133,0.00018822908401489258,0.0002514219284057617,0.0003844475746154785,0.00038090229034423826,0.0004830527305603027,0.0005642604827880859,0.0006244421005249023,0.0008912253379821778,0.0009503889083862304,0.000971829891204834,0.001194899082183838,0.0012289595603942871,0.0013808178901672363,0.0016376900672912598,0.0016598057746887206,0.0017344856262207031,0.0018763327598571777,0.0020225024223327636,0.0021813535690307618,0.0023005342483520506,0.0030834293365478516,0.0026857995986938475,0.002811737060546875,0.0030751442909240723,0.00325880765914917,0.003415369987487793,0.0036028432846069336,0.0038463807106018065,0.004080691337585449,0.004232428073883057,0.004472484588623047,0.004700615406036377,0.004957046508789063,0.0051722884178161625,0.005919127464294433,0.005681142807006836,0.005962729454040527,0.0060911250114440915,0.007016754150390625,0.006669340133666993,0.007104594707489014,0.007308886051177978,0.007634696960449219,0.00786285400390625,0.008235070705413818,0.008461306095123291,0.008794538974761963,0.009045548439025879,0.009334063529968262,0.009663848876953126,0.009974548816680908,0.010406033992767334,0.010666420459747314,0.012168333530426026,0.011645240783691406,0.012369465827941895,0.013116824626922607,0.012524075508117676,0.012748610973358155,0.013247003555297851,0.013546364307403564,0.014126977920532226,0.014406998157501221,0.014563095569610596,0.01512993335723877,0.01552781105041504,0.01598862886428833,0.016799895763397216,0.01669413089752197,0.017275922298431397,0.017570860385894775,0.018267364501953126,0.01871373176574707,0.019070651531219483,0.019486727714538573,0.019873414039611816,0.020419042110443115,0.02089219093322754,0.02110199213027954,0.022369420528411864,0.022353670597076415,0.022878072261810302,0.02328415632247925,0.023708717823028566,0.02478029727935791,0.02621401309967041,0.025336408615112306,0.02557981014251709,0.026293516159057617,0.026652946472167968,0.02704828977584839,0.028043603897094725,0.029021706581115723,0.029526360034942627,0.02937450885772705
XP-ECE,5.704111683958708e-05,7.681367827849814e-05,0.0003154492037930341,1.8279771223857592e-05,5.484712016590754e-05,6.148779096309074e-05,8.055897014273017e-05,0.00021714459360641362,8.67595399998715e-05,0.00013302456138900747,0.00016099904727724188,0.00010892095053683554,0.00028081912740907913,0.00036831817854481025,0.0001530912388773984,0.00035102167628845,0.0002587408136807373,0.00021291630850443853,0.000520114446149315,0.00030262962622774214,0.00022385969383569785,0.000277802429139484,0.00023412758244211859,0.00023033638205804981,0.00022361103009992052,0.005121274441987446,0.00024934714543298344,0.00025955269751492014,0.0002783312055237921,0.00034766556621764773,0.00030154526735514303,0.00034619689485034216,0.0003536904704089046,0.0004361058349526242,0.0004031806946651104,0.00042427779824275974,0.0003943887024478034,0.0004181105265249968,0.0004208796989512759,0.00506739188186502,0.0004757689770174868,0.00045741772058897017,0.00039167816986678065,0.005241499138590359,0.0004669293311115587,0.000506838781823613,0.0005427566247911067,0.0005676320414481725,0.0005922033497777604,0.000600770287239968,0.0006170366409369995,0.0007608118950579804,0.0005885414182418979,0.0006305102918527464,0.000690236841936904,0.0006233183626355982,0.0007019970425840355,0.0006298478038831281,0.00241552915474019,0.0010419487291735052,0.005029457785922102,0.002189079968356001,0.0008758996686562595,0.00072207179618413,0.0011113796442580326,0.0007318757163026502,0.0014318137443006039,0.0009162492656632769,0.0008396004423992999,0.0008333223130571674,0.0008512852114801152,0.0010012275060409712,0.005263059719539455,0.0008095965087304076,0.0009993820201280982,0.0008838356806126038,0.0017063803967190454,0.0013696457825079329,0.0013636835040286564,0.0010333711736245838,0.0009877942458529918,0.0012182835804530907,0.0010289932162360967,0.0010054723226281825,0.005268263999275221,0.0011835511539525488,0.0011736695651512303,0.0011730341581133604,0.0012387618704585628,0.0064242526620757355,0.011915716088721192,0.0013410177995414174,0.0012256352451128368,0.001134308675977029,0.0009821218414412722,0.0012593711571975167,0.002848309886418875,0.006539600690010414,0.005394168335832949,0.0015322594833870036
Envy-Cycle Elimination,9.239912033081055e-05,0.0001241755485534668,0.00014528989791870117,0.00013716936111450196,0.0001836061477661133,0.00021579742431640625,0.00024716377258300783,0.0003079533576965332,0.0003042101860046387,0.0003590059280395508,0.0003848147392272949,0.00040705204010009765,0.0005135011672973633,0.0005852818489074707,0.0005232810974121094,0.0006137442588806152,0.0006235742568969727,0.0006816649436950684,0.0007424211502075195,0.0007556390762329102,0.0007785654067993164,0.0008235001564025879,0.0008566904067993164,0.0009141731262207032,0.0009419202804565429,0.0010207414627075196,0.0010595107078552246,0.0011128497123718262,0.0011599254608154297,0.0012087821960449219,0.001257495880126953,0.0013188767433166505,0.0013820862770080567,0.0014630675315856934,0.0015098214149475097,0.0015738153457641603,0.0016256308555603028,0.0016807794570922851,0.0017562270164489745,0.001951315402984619,0.0019037246704101563,0.0019799256324768066,0.002046539783477783,0.0022254705429077147,0.002175445556640625,0.002220876216888428,0.0023549795150756836,0.002424304485321045,0.002497007846832275,0.002564053535461426,0.0026474475860595705,0.002729372978210449,0.0027782106399536132,0.0028977417945861817,0.0029486465454101564,0.003034703731536865,0.0031400823593139646,0.0032792258262634277,0.003645925521850586,0.003501286506652832,0.0037287425994873046,0.003869140148162842,0.0036804366111755373,0.003788578510284424,0.003923094272613526,0.003982319831848145,0.00421933650970459,0.004211530685424804,0.004286112785339355,0.004386777877807617,0.004499921798706055,0.004605085849761963,0.004722769260406494,0.004818477630615234,0.004926440715789795,0.005074663162231445,0.005163042545318603,0.005308389663696289,0.0053950071334838865,0.005485208034515381,0.005585610866546631,0.005696690082550049,0.0057761621475219726,0.005903668403625488,0.006153969764709472,0.0060676908493042,0.006287581920623779,0.006399834156036377,0.006549656391143799,0.006663708686828613,0.006917169094085693,0.006915593147277832,0.007004983425140381,0.007169318199157715,0.007323215007781983,0.00740898609161377,0.0076852083206176754,0.007743642330169677,0.007951271533966065,0.007993702888488769
Envy-Cycle Elimination,7.277589854477456e-05,9.267386940359493e-05,0.0001546633906722677,3.9894033841004666e-05,4.6292446881498796e-05,5.874724046831229e-05,5.244271107878206e-05,0.0001228499400043556,5.746698297615051e-05,0.0001027245508917788,9.416894320609547e-05,7.281006352323962e-05,0.00013658040729275404,0.00032984514176541505,6.283985603709505e-05,0.00014260002312232464,9.51344171819916e-05,0.00011410394317704191,0.00016574517633105788,0.00021043039836634588,0.00011303798433609783,9.300122023128385e-05,8.657584041813603e-05,9.2558630233123e-05,7.20053752705781e-05,0.00011925835791664457,0.00010061849951633053,0.00010373811644413522,8.619201079769735e-05,9.874143952130338e-05,8.00501013477102e-05,9.097050674952149e-05,0.00011586763182939515,0.00015820104654096562,0.0001325825176541199,0.00015137777003389232,0.0001321781373724575,0.0001056533714810086,0.0001216765352633369,0.0011311570073396298,0.00015006496061430072,0.00017772572985127232,0.00012850772337033047,0.0012169555640217623,0.00015086100385994932,0.00012269476641797253,0.00021591588403488228,0.0001771567671112655,0.00020000525569098266,0.0001985332801102703,0.00015823624300337363,0.0001659038500972908,0.0001721462224777623,0.00021328313239800205,0.0001537161202116305,0.00016943093307940685,0.000205842549979761,0.00021420900641380184,0.0009603412611909886,0.0002644416043685293,0.0017783450150674791,0.0005791363298991062,0.00015927348511389258,0.00020394034930745455,0.00028032929331897204,0.00021524149866914007,0.0004258542886669168,0.00023220154301620898,0.00022095282184619993,0.00021334493917970446,0.0002744729687336405,0.0002672968941875442,0.0002982392936504951,0.0002644965615080833,0.0002891928550645078,0.0004165975287528155,0.00026275771345185865,0.0004713299537477334,0.00033817663996853556,0.0002605988200780937,0.00024753285688843875,0.000252916200605629,0.0002430767996813417,0.00036769134585501445,0.0011079900982110115,0.00017282099458209815,0.00023553508981285105,0.0002629045128463302,0.0003425387055529032,0.00026406433041249543,0.0005384437560850282,0.0002971958988891227,0.0002532553870531845,0.0002701147748224045,0.00028696671729886374,0.0002547896986121064,0.0010418763151726293,0.0004665911016916696,0.0006674459886576834,0.0004452435845466749
Draft-and-Eliminate,0.00013307571411132812,0.0001597738265991211,0.00015516042709350585,0.0001515936851501465,0.00020393610000610352,0.00020039796829223632,0.00022886753082275392,0.0002843761444091797,0.00024264097213745118,0.00025657892227172853,0.0003098297119140625,0.0003515172004699707,0.0004604935646057129,0.00047678470611572265,0.0004776787757873535,0.000552675724029541,0.0005786609649658203,0.0006339144706726074,0.0007268452644348145,0.0007277536392211914,0.0007550859451293945,0.0008100509643554687,0.0008387398719787597,0.0009003734588623047,0.0009382677078247071,0.0010223603248596192,0.0010536932945251465,0.0011014628410339355,0.001179180145263672,0.0012203359603881836,0.0013067483901977538,0.0013594937324523926,0.0014306092262268066,0.001473240852355957,0.001539626121520996,0.0016172313690185547,0.0017012572288513184,0.0017541027069091796,0.0018280458450317383,0.0019056820869445801,0.0019586372375488283,0.0020294952392578124,0.002122516632080078,0.0021816062927246093,0.0022404146194458007,0.00231304407119751,0.002427189350128174,0.002498466968536377,0.0025986266136169434,0.0026729369163513185,0.002760522365570068,0.002827732563018799,0.0034491991996765136,0.0030195426940917967,0.003116755485534668,0.0031735014915466307,0.0032707166671752928,0.003356456756591797,0.00373152494430542,0.003622298240661621,0.0037158393859863283,0.003951809406280518,0.003840909004211426,0.003947582244873047,0.004048819541931152,0.0041316628456115724,0.004351413249969483,0.004314174652099609,0.0044682550430297854,0.004558556079864502,0.004637041091918945,0.004797511100769043,0.004898619651794433,0.005013041496276856,0.00515995979309082,0.005222704410552979,0.005323734283447266,0.005504348278045654,0.005592145919799805,0.005686728954315185,0.005812733173370361,0.005941140651702881,0.006047298908233642,0.0061516714096069335,0.006329882144927979,0.0064463210105896,0.006593444347381592,0.006679949760437012,0.006835777759552002,0.006958112716674804,0.007181720733642578,0.007214894294738769,0.007351334095001221,0.007438199520111084,0.007607948780059814,0.0077941203117370605,0.007936360836029053,0.008068957328796388,0.008395407199859619,0.008313043117523193
Draft-and-Eliminate,0.0001922173989302008,0.0001299782481936615,7.984144699453578e-05,3.73575979396496e-05,5.349226373897995e-05,3.502557116815601e-05,5.9467423030150235e-05,0.00014709975422729342,4.246115475334939e-05,4.9338834725905734e-05,6.591606261557101e-05,9.735185392822945e-05,0.00019122528082348298,0.00013960496662912268,7.059399361236317e-05,0.00013455746895186954,0.00010132136985854891,0.00011281580736482531,0.00019614726756348328,0.0001130603083558254,0.00010593972723267697,0.00013853203982181953,8.883756042815781e-05,7.75946466322206e-05,6.821820754329335e-05,0.0001697086493743459,9.586240643667044e-05,8.46198064808864e-05,0.00010846114102002428,9.767933487453351e-05,0.00011047071027331265,0.00011518676252331011,0.00016166139469158636,0.00011252906141708043,0.00014170391439047772,0.00012324633170714968,0.00015827703599064917,0.0001254142377206266,0.00012003090855072138,0.0001592409112559205,0.00012950970199362464,0.00014858827683609822,0.00014579832195054813,0.00015470761651615374,0.00012766227836169804,0.00013614096232867883,0.0001660610020620038,0.0001452434871276341,0.0002034850579537817,0.00016597804521916045,0.00016389138500082126,0.00017497751381453404,0.005275104305983656,0.0002056052939078437,0.00018688051188739724,0.00017489016605248993,0.00018952836809682015,0.0002545294152558821,0.0006652224143544965,0.00020569768473234476,0.00033590639788754465,0.00045198691854800717,0.00019406904403376096,0.0001600888620283056,0.00022316567395881578,0.00017302725827668427,0.00040979092328006085,0.00016363900095236182,0.0002466590601122976,0.00023962807581453803,0.00020538829648423745,0.0002895388552366467,0.00025026939750010435,0.00022325943384022423,0.000350356164973131,0.0002621652102873311,0.0002333494618501836,0.00025465833435305555,0.0002540296284141193,0.00026157094019887164,0.0002979200292356924,0.00033085132298242174,0.00027225580608631386,0.00020886511259475736,0.00035229514454654143,0.00026022213494549407,0.00026223261229340233,0.00028890063102381336,0.0002752696044884114,0.00031176640161659257,0.0005674744429656221,0.00022044044749382295,0.0002836766390084687,0.0002406220755646926,0.00033232509758416044,0.0003093784159308096,0.0006365809686041552,0.00044773844877975987,0.0008235657883475657,0.00038552341339497225
Ordered Picking,0.0001284503936767578,0.0001942896842956543,0.0009474039077758789,0.000204465389251709,0.00026361942291259767,0.00030333518981933593,0.0004184913635253906,0.0005982279777526856,0.0005320405960083008,0.0006380200386047364,0.0007287764549255371,0.0007724070549011231,0.0010018014907836913,0.0010224199295043946,0.000993185043334961,0.001123955249786377,0.0012284111976623535,0.0013422918319702147,0.0015619301795959473,0.0014359307289123534,0.0014917850494384766,0.0015597319602966308,0.0016307544708251953,0.0017467617988586425,0.001823427677154541,0.0020550918579101563,0.0019863033294677734,0.002119495868682861,0.002178828716278076,0.002261643409729004,0.0024668049812316896,0.0025167107582092286,0.0025950932502746583,0.002740468978881836,0.0028728532791137697,0.0029450106620788575,0.003056223392486572,0.003211355209350586,0.0032625532150268553,0.0034326028823852537,0.0035535240173339843,0.003693094253540039,0.003783137798309326,0.003939378261566162,0.004117090702056885,0.0042429065704345705,0.004359943866729736,0.004472811222076416,0.004616496562957764,0.004747428894042969,0.004919137954711914,0.005057873725891113,0.005199487209320068,0.005328764915466308,0.005459206104278564,0.005567896366119385,0.0058021068572998045,0.006001505851745605,0.006643743515014649,0.006524810791015625,0.0065572142601013185,0.007042951583862304,0.006734545230865478,0.006908016204833984,0.00711073637008667,0.0072751808166503906,0.007586500644683838,0.007655510902404785,0.007797672748565674,0.008012747764587403,0.008192648887634277,0.008424887657165528,0.008561913967132568,0.008831667900085449,0.008986339569091797,0.009258270263671875,0.009371888637542725,0.00965928316116333,0.00976076602935791,0.010021989345550536,0.010147314071655273,0.01041219472885132,0.011174385547637939,0.01086432695388794,0.011092545986175538,0.011218302249908448,0.012402057647705078,0.011669607162475585,0.011926345825195313,0.012120490074157714,0.012508800029754638,0.012610032558441162,0.01285881519317627,0.013030500411987304,0.013219838142395019,0.013511404991149903,0.013941988945007325,0.01576503038406372,0.014422314167022705,0.014480361938476563
Ordered Picking,6.767508003814598e-05,0.00016511183629316383,0.006589413774549134,6.020838239846781e-05,7.122224624388e-05,5.925133015918175e-05,0.0001430352205311142,0.0003610437785880214,0.00011735530362499178,0.0001998829913562789,0.00016714565463776305,0.00017538109668013675,0.00031383532498688196,0.00028318691860019927,0.00016695307971938665,0.0002727109858557349,0.00024203469285637809,0.00026132305553033846,0.0009376810562511949,0.0002275451676867446,0.0001988600303361107,0.00016987185894256092,0.00020418005164928214,0.00017003264685840487,0.0002201539769696808,0.001022873436625603,0.00024023486609043467,0.0002218932542596835,0.0002351031767943969,0.00021881186672051682,0.00023510928022804395,0.0002122768448247469,0.00022514182629304299,0.00026264194465670175,0.00027230610545652843,0.0002399277199256725,0.00022760222249587346,0.0002625495509152626,0.00022055482025780604,0.0002734632142286934,0.0002910947040845394,0.00027999585776078157,0.0003008315835540793,0.0002904821372297563,0.0003441324488618856,0.00034397038649726803,0.00039060635310183547,0.00030358291471253764,0.0003388228049052431,0.00036907477390094235,0.00029060838458985707,0.0003164141749082807,0.0004230136395370933,0.00038125549860529154,0.0003077765287396156,0.0002879439098437849,0.00034251091258647457,0.00041525123479632935,0.001184593432589928,0.0010816423869649523,0.000504685136843186,0.0009852599275865367,0.0004352083545953352,0.00031308703306378026,0.0003069072107966443,0.00035786707170871903,0.0008243260046136481,0.00039619788348100704,0.00036070135848787177,0.0005412223553022015,0.00036674795943502134,0.0004186160044073354,0.000404990471328389,0.000433909879116839,0.000400489985698673,0.0005702192744014758,0.0003969080975535557,0.0005814070908622404,0.00040026467547131273,0.0005713831378114303,0.00041844245497627333,0.0004523744005794785,0.004899895343365712,0.00047175717219175944,0.0004990365227047296,0.000500835708048813,0.006449951611030576,0.0003824737809950192,0.0004999921629646168,0.0004685928040566766,0.0009352289634358013,0.0005083476047173292,0.0006147367579366629,0.0004815621595872248,0.0004183013875600102,0.0005064960622534752,0.0015907285599471158,0.012366783852607779,0.0010123750594534487,0.0005558645046324827
Round-Robin,2.3274421691894532e-05,2.7620792388916014e-05,2.9768943786621094e-05,3.0210018157958983e-05,4.265308380126953e-05,4.9016475677490235e-05,5.982875823974609e-05,7.83228874206543e-05,7.447004318237305e-05,9.689807891845704e-05,0.00010210990905761718,0.0001163935661315918,0.00015070199966430665,0.00015401124954223633,0.00015582561492919923,0.00019266843795776368,0.0002002692222595215,0.0002198648452758789,0.00026917219161987305,0.0002587223052978516,0.00027142763137817384,0.00029367685317993164,0.00031579017639160156,0.0003417801856994629,0.0003582596778869629,0.00040375709533691407,0.0004156374931335449,0.0004336452484130859,0.00046442508697509767,0.0004929399490356445,0.0005296254158020019,0.0005655503273010254,0.0005895280838012695,0.0006312084197998047,0.0006588172912597657,0.0007009434700012207,0.0007433915138244629,0.000775289535522461,0.0008030223846435547,0.0008418536186218261,0.0008823084831237793,0.0009208273887634277,0.0009560680389404297,0.000986626148223877,0.0010337209701538085,0.0010808181762695312,0.0011456346511840821,0.001176149845123291,0.0012212491035461426,0.0012882328033447265,0.0013132286071777344,0.0013750815391540528,0.0014145898818969727,0.0014699888229370117,0.0015213298797607422,0.0015734410285949707,0.0016216754913330079,0.0016652679443359376,0.0018898653984069824,0.0018576383590698242,0.0018652677536010742,0.0020449137687683105,0.001969590187072754,0.0020312047004699707,0.0020959854125976564,0.002149224281311035,0.002314941883087158,0.002265665531158447,0.0023442387580871584,0.0024016904830932617,0.002457249164581299,0.0025304317474365234,0.0026015663146972657,0.002669217586517334,0.002726962566375732,0.0028179359436035158,0.002886526584625244,0.0029804468154907226,0.0030351662635803222,0.0030821990966796876,0.003151240348815918,0.003240790367126465,0.0034029126167297364,0.003379347324371338,0.0034958744049072266,0.003525586128234863,0.00390242338180542,0.003685147762298584,0.00379441499710083,0.0038756442070007322,0.003976316452026367,0.004030096530914307,0.00410099983215332,0.0042437887191772465,0.004314091205596924,0.004384162425994873,0.004463329315185547,0.004770097732543946,0.004809834957122803,0.004790952205657959
Round-Robin,2.6780335032361125e-05,1.609625170305412e-05,1.168129486455749e-05,6.488253579824735e-06,1.759743935825165e-05,1.618239106608161e-05,2.2055273258980542e-05,3.669322342093385e-05,1.2440030564168112e-05,7.126429982426196e-05,2.1692529323168377e-05,3.41700605096618e-05,6.0047252446876015e-05,3.583678624376242e-05,1.3665989071541534e-05,5.991162304343659e-05,3.8573716713762535e-05,3.695123992960853e-05,0.00014338975605451932,5.671457059877041e-05,3.755871941668989e-05,2.758569632114373e-05,4.084626564353568e-05,3.947914290573892e-05,2.8647664037619703e-05,5.892280140402168e-05,3.602593398438861e-05,2.4226488823261225e-05,3.55789037988409e-05,3.775896120489631e-05,4.5439279910195916e-05,5.6004002478545426e-05,5.397805287216039e-05,6.0158043853535436e-05,5.516975092822356e-05,8.21411517870351e-05,7.957198196552495e-05,9.165466986668948e-05,6.629618003210606e-05,7.384076663019553e-05,7.738801224602723e-05,6.528244517162878e-05,7.262810616874208e-05,6.182123687492708e-05,7.393560126981785e-05,7.917852711820811e-05,0.00010632218738620798,0.00011937953548758668,8.981966957763614e-05,0.00011533379490060655,7.873803574723668e-05,0.0001135220268733608,9.271531493547166e-05,0.00010960681738969039,0.00011982835567479205,0.00011325345027413105,0.00010265238109026126,0.00010384867169025607,0.0003730241453980939,0.00024204321669348355,0.00014581857863256336,0.0004308834880897876,0.0001225377833464443,0.00014975492287086384,0.0001577216948021916,0.00011866453873109835,0.0003884539740762009,0.00013520775804359147,0.00013001939163694996,0.0001861649676158608,0.0001513134641432852,0.00017857924636998065,0.00015273835958855538,0.0001439909403115061,0.0001485718161035066,0.00018568817758121388,0.00019447297528627362,0.0001982539026435932,0.00019896306582534832,0.00015648722132356675,0.0001780180723787175,0.00020977865090200296,0.0006964736561915789,0.00016984105054526912,0.00018937140977832442,0.00016485979738428802,0.002437494088184501,0.00020083002353493,0.00020231271835006418,0.00021018156986687473,0.0002168319661691957,0.0001624300666308877,0.00019216327961898877,0.00023110359086837444,0.0002515833062434531,0.00023318934360304385,0.0002095958850963755,0.001580887232819828,0.0012092863716338283,0.0003775820461332858
