items,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
XP-ECE,0,0,0,42,55,65,49,56,80,87,97,100,99,98,100,99,99,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100
Envy-Cycle Elimination,0,0,0,44,61,59,47,42,47,40,44,68,71,72,65,50,52,51,49,58,55,58,60,63,56,54,52,55,52,59,59,54,55,62,53,54,50,56,49
Draft-and-Eliminate,0,0,0,69,81,70,55,57,91,95,100,98,97,91,88,69,65,61,50,52,59,54,61,61,60,58,56,61,51,49,63,53,54,67,57,57,43,57,47
Ordered Picking,0,0,0,44,66,62,65,73,88,87,95,100,97,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Round-Robin,0,0,0,44,60,42,41,42,89,92,96,95,95,98,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
